Id,OverallQual,YearBuilt,YearRemodAdd,TotalBsmtSF,1stFlrSF,GrLivArea,FullBath,TotRmsAbvGrd,GarageCars,SalePrice,MSZoning,Utilities,BldgType,KitchenQual,SaleCondition,LandSlope
261,6,1962,1962,1362,1382,1382,1,6,2,176000,RL,AllPub,1Fam,TA,Normal,Gtl
262,8,2007,2007,1482,1482,2574,2,10,3,276000,RL,AllPub,1Fam,Ex,Partial,Gtl
263,6,1977,1995,506,1212,1212,1,6,2,151000,RL,AllPub,1Fam,TA,Normal,Gtl
264,5,1929,2001,926,926,1316,1,6,2,130000,RM,AllPub,1Fam,TA,Normal,Gtl
265,5,1925,2004,680,764,764,1,4,2,73000,RM,AllPub,1Fam,TA,Normal,Gtl
266,6,1981,1981,1422,1422,1422,2,7,2,175500,RL,AllPub,1Fam,Gd,Normal,Gtl
267,6,1997,1997,802,802,1511,2,8,2,185000,RL,AllPub,1Fam,TA,Normal,Gtl
268,5,1939,1997,720,1052,2192,2,8,1,179500,RL,AllPub,1Fam,Gd,Normal,Mod
269,5,1940,1955,740,778,778,1,4,1,120500,RM,AllPub,1Fam,TA,Normal,Gtl
270,6,1976,1976,1143,1113,1113,1,6,1,148000,RL,AllPub,1Fam,TA,Normal,Gtl
271,8,2006,2006,1095,1095,1939,2,8,3,266000,FV,AllPub,1Fam,Gd,Partial,Gtl
272,7,1954,2005,1385,1363,1363,1,5,2,241500,RL,AllPub,1Fam,TA,Normal,Sev
273,8,1999,2007,1152,1164,2270,2,9,3,290000,RL,AllPub,1Fam,Gd,Normal,Gtl
274,6,1958,1988,1240,1632,1632,2,6,1,139000,RL,AllPub,1Fam,TA,Normal,Gtl
275,5,1982,1982,816,816,816,1,5,1,124500,RL,AllPub,1Fam,TA,Normal,Gtl
276,7,1925,2007,952,952,1548,2,5,2,205000,RL,AllPub,1Fam,Ex,Normal,Gtl
277,7,2003,2003,1560,1560,1560,2,7,2,201000,RL,AllPub,1Fam,Gd,Normal,Gtl
278,4,1951,1951,864,864,864,1,4,2,141000,RL,AllPub,1Fam,TA,Normal,Gtl
279,9,2006,2007,2121,2121,2121,2,8,3,415298,RL,AllPub,1Fam,Ex,Partial,Gtl
280,7,1977,1977,1160,1156,2022,2,8,2,192000,RL,AllPub,1Fam,TA,Normal,Gtl
281,7,1989,1989,807,1175,1982,2,7,2,228500,RL,AllPub,1Fam,Gd,Normal,Gtl
282,6,2006,2006,1262,1262,1262,2,5,2,185000,FV,AllPub,1Fam,Gd,Partial,Gtl
283,7,2007,2008,1314,1314,1314,2,6,2,207500,RL,AllPub,Twnhs,Gd,Normal,Gtl
284,8,2008,2009,1468,1468,1468,2,6,3,244600,RL,AllPub,1Fam,Gd,Partial,Gtl
285,6,1992,1992,1575,1575,1575,2,5,2,179200,RL,AllPub,TwnhsE,Gd,Normal,Gtl
286,7,2006,2007,625,625,1250,2,5,2,164700,FV,AllPub,TwnhsE,Gd,Partial,Gtl
287,6,1962,1981,912,1085,1734,1,7,2,159000,RL,AllPub,1Fam,Gd,Normal,Gtl
288,4,1971,1971,858,858,858,1,5,0,88000,RL,AllPub,1Fam,TA,Normal,Gtl
289,5,1967,1967,882,900,900,1,5,1,122000,RL,AllPub,1Fam,TA,Normal,Gtl
290,6,1915,2003,698,698,1396,1,7,1,153575,RL,AllPub,1Fam,TA,Normal,Gtl
291,8,2006,2006,1079,1079,1919,2,8,2,233230,RL,AllPub,1Fam,Gd,Partial,Gtl
292,5,1912,2000,780,936,1716,2,9,0,135900,RL,AllPub,2fmCon,Fa,Normal,Gtl
293,5,1949,2008,768,1148,1716,1,8,1,131000,RL,AllPub,1Fam,TA,Normal,Gtl
294,7,1977,1994,795,1468,2263,2,9,2,235000,RL,AllPub,1Fam,Gd,Normal,Gtl
295,6,1953,1953,1416,1644,1644,1,7,2,167000,RL,AllPub,1Fam,TA,Normal,Gtl
296,6,1984,1984,1003,1003,1003,1,6,2,142500,RL,AllPub,1Fam,TA,Normal,Gtl
297,5,1950,1950,910,910,1558,1,6,1,152000,RM,AllPub,1Fam,TA,Normal,Gtl
298,7,1997,1998,975,975,1950,2,7,2,239000,FV,AllPub,1Fam,Gd,Normal,Gtl
299,6,1968,1968,702,1041,1743,1,7,2,175000,RL,AllPub,1Fam,TA,Normal,Gtl
300,6,1950,2004,1092,1152,1152,1,6,1,158500,RL,AllPub,1Fam,Gd,Family,Gtl
301,5,1953,1953,1165,1336,1336,1,5,1,157000,RL,AllPub,2fmCon,TA,Normal,Gtl
302,8,1998,1999,1028,1210,2452,2,9,2,267000,RL,AllPub,1Fam,Gd,Normal,Gtl
303,7,2001,2002,1541,1541,1541,2,6,3,205000,RL,AllPub,1Fam,Gd,Normal,Gtl
304,5,1972,1972,894,894,894,1,5,2,149900,RL,AllPub,1Fam,TA,Abnorml,Gtl
305,7,1880,2002,1470,1675,3493,3,10,3,295000,RM,AllPub,1Fam,Gd,Normal,Gtl
306,8,2004,2005,2000,2000,2000,2,8,3,305900,RL,AllPub,1Fam,Gd,Normal,Gtl
307,7,1990,1991,700,1122,2243,2,8,3,225000,RL,AllPub,1Fam,Gd,Normal,Gtl
308,6,1920,1950,319,1035,1406,1,6,0,89500,RM,AllPub,1Fam,Fa,Normal,Gtl
309,4,1940,1950,861,861,861,1,4,2,82500,RL,AllPub,1Fam,TA,Normal,Gtl
310,9,2003,2004,1896,1944,1944,2,8,3,360000,RL,AllPub,1Fam,Ex,Normal,Gtl
311,6,1993,1994,697,697,1501,2,6,2,165600,RL,AllPub,1Fam,Gd,Normal,Gtl
312,6,1948,2002,972,972,972,1,5,1,132000,RL,AllPub,1Fam,TA,Normal,Gtl
313,5,1939,1950,793,793,1118,1,5,2,119900,RM,AllPub,2fmCon,TA,Normal,Gtl
314,7,1965,1965,2136,2036,2036,2,8,2,375000,RL,AllPub,1Fam,TA,Normal,Sev
315,7,1925,1990,728,832,1641,1,6,2,178000,RM,AllPub,1Fam,Ex,Normal,Gtl
316,7,2004,2005,716,716,1432,2,6,2,188500,RL,AllPub,1Fam,Gd,Normal,Gtl
317,7,1980,1980,845,1153,2353,2,10,2,260000,RL,AllPub,1Fam,Ex,Normal,Gtl
318,8,2006,2006,1088,1088,1959,2,8,3,270000,FV,AllPub,1Fam,Gd,Normal,Gtl
319,7,1993,1993,1347,1372,2646,2,9,3,260000,RL,AllPub,1Fam,Gd,Normal,Mod
320,7,1980,1980,1372,1472,1472,2,6,2,187500,RL,AllPub,1Fam,TA,Normal,Gtl
321,9,2006,2006,1249,1249,2596,3,9,3,342643,RL,AllPub,1Fam,Gd,Partial,Gtl
322,8,2004,2004,1136,1136,2468,2,10,3,354000,RL,AllPub,1Fam,Gd,Normal,Gtl
323,7,1986,1987,1502,1553,2730,2,8,2,301000,RL,AllPub,1Fam,Gd,Normal,Gtl
324,3,1955,2005,1162,1163,1163,1,6,1,126175,RM,AllPub,1Fam,TA,Normal,Gtl
325,7,1967,2007,710,1898,2978,2,11,2,242000,RL,AllPub,1Fam,Gd,Normal,Gtl
326,5,1941,1950,720,803,803,1,5,2,87000,RM,AllPub,1Fam,TA,Normal,Gtl
327,8,1993,1993,1719,1719,1719,1,6,2,324000,RL,AllPub,TwnhsE,Gd,Normal,Gtl
328,6,1960,1960,1383,1383,1383,1,7,1,145250,RL,AllPub,1Fam,TA,Normal,Gtl
329,6,1916,1994,844,1445,2134,2,10,2,214500,RL,AllPub,1Fam,Gd,Normal,Gtl
330,5,1920,1950,596,596,1192,1,6,1,78000,RM,AllPub,1Fam,TA,Normal,Gtl
331,5,1964,1964,1728,1728,1728,2,10,1,119000,RL,AllPub,Duplex,TA,Normal,Gtl
332,5,1958,1992,1056,1056,1056,1,6,1,139000,RL,AllPub,1Fam,TA,Normal,Gtl
333,8,2003,2004,3206,1629,1629,2,7,3,284000,RL,AllPub,1Fam,Gd,Normal,Gtl
334,7,2004,2004,1358,1358,1358,2,6,2,207000,RM,AllPub,TwnhsE,Gd,Normal,Gtl
335,6,1998,1998,943,943,1638,2,7,2,192000,RL,AllPub,1Fam,TA,Normal,Gtl
336,5,1965,1965,1499,1619,1786,2,7,2,228950,RL,AllPub,2fmCon,TA,Normal,Sev
337,9,2005,2006,1922,1922,1922,2,8,3,377426,RL,AllPub,1Fam,Gd,Normal,Gtl
338,7,2002,2003,1536,1536,1536,2,7,2,214000,RL,AllPub,1Fam,Gd,Normal,Gtl
339,7,1984,1998,1208,1621,1621,2,8,2,202500,RL,AllPub,1Fam,Gd,Normal,Gtl
340,6,1958,1998,1215,1215,1215,1,6,1,155000,RL,AllPub,1Fam,TA,Normal,Gtl
341,8,2002,2002,967,993,1908,2,9,2,202900,RL,AllPub,1Fam,Gd,Normal,Gtl
342,4,1950,1950,721,841,841,1,4,1,82000,RH,AllPub,1Fam,TA,Normal,Gtl
343,3,1949,1950,0,1040,1040,2,6,2,87500,RL,AllPub,Duplex,TA,Normal,Gtl
344,9,2005,2005,1684,1684,1684,2,6,2,266000,RL,AllPub,TwnhsE,Ex,Normal,Gtl
345,5,1976,1976,536,536,1112,1,4,1,85000,RM,AllPub,TwnhsE,TA,Normal,Gtl
346,6,1939,1950,972,972,1577,1,6,1,140200,RL,AllPub,1Fam,Fa,Normal,Gtl
347,6,1960,1998,958,958,958,1,5,1,151500,RL,AllPub,1Fam,TA,Normal,Gtl
348,6,1960,1960,1478,1478,1478,2,6,2,157500,RL,AllPub,1Fam,TA,Normal,Gtl
349,7,2003,2004,764,764,1626,2,6,2,154000,RL,AllPub,Twnhs,Gd,Normal,Gtl
350,9,2005,2006,1848,1848,2728,2,10,3,437154,RL,AllPub,1Fam,Ex,Partial,Gtl
351,9,2007,2007,1869,1869,1869,2,6,2,318061,RL,AllPub,TwnhsE,Ex,Partial,Gtl
352,7,1986,1986,1453,1453,1453,1,6,2,190000,RL,AllPub,1Fam,Gd,Abnorml,Mod
353,5,1941,1950,616,616,1111,1,5,1,95000,RL,AllPub,1Fam,TA,Normal,Gtl
354,6,1928,2003,624,720,720,1,5,2,105900,RM,AllPub,1Fam,TA,Normal,Gtl
355,6,1940,2000,940,1192,1595,1,6,1,140000,RL,AllPub,1Fam,TA,Normal,Gtl
356,6,1995,1995,1200,1200,1200,2,6,2,177500,RL,AllPub,1Fam,Gd,Normal,Gtl
357,6,1992,1992,1158,1167,1167,2,6,2,173000,RL,AllPub,1Fam,Gd,Normal,Gtl
358,5,1976,1976,1142,1142,1142,1,6,2,134000,RM,AllPub,TwnhsE,TA,Normal,Gtl
359,5,1958,1958,1062,1352,1352,1,6,1,130000,RL,AllPub,1Fam,Gd,Abnorml,Gtl
360,8,1998,1998,1086,1086,1924,2,7,2,280000,RL,AllPub,1Fam,Gd,Normal,Gtl
361,6,1978,1978,888,912,912,1,5,2,156000,RL,AllPub,1Fam,TA,Normal,Gtl
362,5,1940,1982,883,988,1505,1,8,1,145000,RL,AllPub,1Fam,TA,Normal,Gtl
363,7,2003,2003,0,495,1922,3,7,2,198500,RL,AllPub,1Fam,Gd,Normal,Gtl
364,6,1972,2007,483,483,987,1,5,1,118000,RM,AllPub,Twnhs,Gd,Normal,Gtl
365,6,1976,1976,796,790,1574,2,6,2,190000,RL,AllPub,1Fam,TA,Normal,Gtl
366,5,1920,1997,672,672,1344,1,6,1,147000,RM,AllPub,1Fam,TA,Normal,Gtl
367,6,1963,1963,1394,1394,1394,1,6,2,159000,RL,AllPub,1Fam,TA,Normal,Gtl
368,6,1962,1962,1099,1431,1431,1,6,1,165000,RL,AllPub,1Fam,TA,Normal,Gtl
369,5,1954,1954,1268,1268,1268,1,7,1,132000,RL,AllPub,1Fam,TA,Normal,Gtl
370,5,1959,2006,1063,1287,1287,1,7,2,162000,RL,AllPub,1Fam,Gd,Normal,Gtl
371,6,2000,2000,953,953,1664,2,7,2,172400,RL,AllPub,1Fam,TA,Normal,Gtl
372,4,1959,1959,0,1120,1588,2,7,2,134432,RL,AllPub,1Fam,TA,Normal,Gtl
373,6,1984,1984,744,752,752,1,4,1,125000,RL,AllPub,TwnhsE,TA,Normal,Gtl
374,5,1953,1953,608,1319,1319,1,5,1,123000,RL,AllPub,1Fam,TA,Normal,Gtl
375,7,2003,2004,847,847,1928,2,8,2,219500,RL,AllPub,1Fam,Gd,Normal,Gtl
376,1,1922,1950,683,904,904,0,4,0,61000,RL,AllPub,1Fam,Fa,Normal,Sev
377,5,1996,1996,870,914,914,1,5,2,148000,RL,AllPub,1Fam,TA,Normal,Gtl
378,8,2004,2005,1580,1580,2466,3,8,2,340000,FV,AllPub,1Fam,Gd,Normal,Gtl
379,9,2010,2010,1856,1856,1856,1,8,3,394432,RL,AllPub,1Fam,Ex,Partial,Gtl
380,6,2000,2000,982,1007,1800,2,7,2,179000,RL,AllPub,1Fam,TA,Normal,Gtl
381,5,1924,1950,1026,1026,1691,2,6,1,127000,RL,AllPub,1Fam,Gd,Normal,Gtl
382,7,2006,2006,1293,1301,1301,2,5,2,187750,FV,AllPub,1Fam,Gd,Partial,Gtl
383,7,2006,2006,939,939,1797,2,8,2,213500,RL,AllPub,1Fam,Gd,Normal,Gtl
384,6,1928,1950,784,784,784,1,5,2,76000,RH,AllPub,1Fam,TA,Normal,Gtl
385,6,1992,1992,1580,1079,1953,2,9,2,240000,RL,AllPub,1Fam,Gd,Normal,Mod
386,8,2004,2005,1256,1269,1269,2,6,2,192000,RL,AllPub,TwnhsE,Gd,Normal,Gtl
387,5,1910,1996,658,658,1184,1,8,0,81000,RL,AllPub,1Fam,TA,AdjLand,Gtl
388,6,1976,1976,1041,1125,1125,1,6,1,125000,RL,AllPub,1Fam,TA,Abnorml,Gtl
389,7,1999,2000,1468,1479,1479,2,6,2,191000,RL,AllPub,1Fam,Gd,Normal,Gtl
390,10,2007,2008,1682,1742,2332,2,9,3,426000,RL,AllPub,1Fam,Ex,Partial,Gtl
391,5,1900,1950,861,961,1367,1,7,1,119000,RL,AllPub,1Fam,TA,Normal,Gtl
392,6,2001,2002,804,804,1961,2,7,2,215000,RL,AllPub,1Fam,Gd,Normal,Gtl
393,5,1959,1959,0,882,882,1,5,1,106500,RL,AllPub,1Fam,TA,Normal,Gtl
394,4,1941,1950,788,788,788,1,4,0,100000,RL,AllPub,1Fam,TA,Abnorml,Gtl
395,5,1940,1950,735,735,1034,1,5,1,109000,RL,AllPub,1Fam,TA,Normal,Gtl
396,5,1956,1956,1144,1144,1144,1,6,1,129000,RL,AllPub,1Fam,TA,Normal,Gtl
397,5,1972,1972,894,894,894,1,6,2,123000,RL,AllPub,1Fam,TA,Normal,Gtl
398,5,1962,1962,864,876,1812,2,8,1,169500,RL,AllPub,1Fam,TA,Normal,Gtl
399,5,1920,1950,961,1077,1077,1,6,1,67000,RM,AllPub,1Fam,TA,Abnorml,Gtl
400,7,2006,2007,1092,1112,1550,2,7,2,241000,FV,AllPub,1Fam,Gd,Normal,Gtl
401,8,1996,1996,1260,1288,1288,1,4,2,245500,RL,AllPub,TwnhsE,Ex,Normal,Gtl
402,7,2005,2005,1310,1310,1310,2,6,2,164990,RL,AllPub,1Fam,Gd,Partial,Gtl
403,5,1940,1997,672,672,672,1,4,1,108000,RL,AllPub,1Fam,TA,Normal,Gtl
404,8,1998,1998,1141,1165,2263,2,10,2,258000,RL,AllPub,1Fam,Gd,Abnorml,Gtl
405,6,1995,1996,806,806,1572,2,7,2,168000,RL,AllPub,1Fam,TA,Normal,Gtl
406,4,1976,1993,1281,1620,1620,2,8,2,150000,RL,AllPub,1Fam,TA,Normal,Gtl
407,6,1936,1950,1064,1166,1639,1,6,1,115000,RL,AllPub,1Fam,TA,Normal,Gtl
408,6,1915,1976,840,840,1680,2,8,1,177000,RL,AllPub,1Fam,TA,Normal,Gtl
409,7,2006,2006,1063,1071,2172,2,9,3,280000,RL,AllPub,1Fam,Gd,Partial,Gtl
410,8,2007,2008,1034,1050,2078,2,8,3,339750,FV,AllPub,1Fam,Ex,Partial,Gtl
411,5,1958,1958,1276,1276,1276,1,5,1,60000,RL,AllPub,1Fam,TA,Abnorml,Gtl
412,5,1955,1955,1056,1056,1056,1,5,2,145000,RL,AllPub,2fmCon,TA,Normal,Gtl
413,7,2009,2009,1470,1478,1478,2,7,2,222000,FV,AllPub,1Fam,Gd,Partial,Gtl
414,5,1927,1950,1008,1028,1028,1,5,2,115000,RM,AllPub,1Fam,TA,Normal,Gtl
415,7,1993,1993,1080,1080,2097,2,9,3,228000,RL,AllPub,1Fam,Gd,Normal,Gtl
416,7,2007,2007,1340,1340,1340,2,6,2,181134,RL,AllPub,1Fam,Gd,Partial,Gtl
417,6,1978,1978,672,672,1400,1,6,2,149500,RL,AllPub,1Fam,TA,Normal,Gtl
418,6,1918,1950,1370,1370,2624,2,10,3,239000,RL,AllPub,1Fam,TA,Normal,Gtl
419,5,1940,1950,756,756,1134,1,7,1,126000,RL,AllPub,1Fam,TA,AdjLand,Gtl
420,5,1968,1968,1056,1056,1056,1,6,1,142000,RL,AllPub,1Fam,TA,Normal,Gtl
421,7,1997,1998,1344,1344,1344,2,8,4,206300,RM,AllPub,Duplex,TA,Alloca,Gtl
422,6,1977,2000,1602,1602,1602,2,8,2,215000,RL,AllPub,1Fam,Gd,Normal,Gtl
423,5,1954,1954,988,988,988,1,4,2,113000,RL,AllPub,1Fam,TA,Normal,Mod
424,8,1998,1998,1470,1470,2630,2,8,3,315000,RL,AllPub,1Fam,Gd,Normal,Gtl
425,6,1956,1956,1196,1196,1196,1,6,1,139000,RL,AllPub,1Fam,TA,Normal,Gtl
426,7,1946,1992,651,707,1389,1,6,1,135000,RM,AllPub,1Fam,TA,Normal,Gtl
427,7,1989,1989,1518,1644,1644,2,5,2,275000,RL,AllPub,1Fam,Gd,Normal,Mod
428,4,1957,1957,907,907,907,1,5,1,109008,RL,AllPub,1Fam,TA,Normal,Gtl
429,7,2007,2007,1208,1208,1208,2,6,2,195400,RL,AllPub,1Fam,Gd,Partial,Gtl
430,6,1988,1988,1392,1412,1412,2,6,2,175000,RL,AllPub,1Fam,Gd,Normal,Gtl
431,6,1971,1971,483,483,987,1,4,1,85400,RM,AllPub,Twnhs,TA,Abnorml,Gtl
432,6,1920,1998,901,1088,1198,1,7,0,79900,RM,AllPub,1Fam,TA,Abnorml,Gtl
433,5,1971,1971,765,765,1365,1,6,2,122500,RM,AllPub,TwnhsE,TA,Normal,Gtl
434,6,1997,1998,926,926,1604,2,7,2,181000,RL,AllPub,1Fam,TA,Normal,Gtl
435,4,1972,1972,630,630,630,1,3,0,81000,RM,AllPub,Twnhs,TA,Normal,Gtl
436,7,1996,1996,799,827,1661,2,6,2,212000,RL,AllPub,1Fam,Gd,Normal,Gtl
437,6,1920,1950,648,734,1118,1,6,2,116000,RM,AllPub,1Fam,TA,Normal,Gtl
438,6,1926,2004,884,904,904,1,4,1,119000,RM,AllPub,1Fam,TA,Normal,Gtl
439,5,1913,2002,440,694,694,1,4,1,90350,RL,AllPub,1Fam,Gd,Normal,Gtl
440,6,1920,2000,684,684,1196,1,7,2,110000,RL,AllPub,1Fam,Gd,Normal,Gtl
441,10,2008,2008,3094,2402,2402,2,10,3,555000,RL,AllPub,1Fam,Ex,Normal,Gtl
442,4,1955,1955,1440,1440,1440,2,8,0,118000,RL,AllPub,Duplex,Fa,Normal,Gtl
443,5,1930,1992,1078,1128,1573,2,8,2,162900,RM,AllPub,1Fam,TA,Normal,Gtl
444,7,2006,2007,1258,1258,1258,2,6,3,172500,RL,AllPub,TwnhsE,Gd,Partial,Gtl
445,7,1994,1995,915,933,1908,2,8,2,210000,RL,AllPub,1Fam,Gd,Normal,Gtl
446,6,1956,1956,1436,1689,1689,1,7,2,127500,RL,AllPub,1Fam,TA,Normal,Gtl
447,6,1966,2002,1517,1888,1888,2,6,2,190000,RL,AllPub,1Fam,Gd,Normal,Gtl
448,7,1998,1999,930,956,1886,2,10,2,199900,RL,AllPub,1Fam,Gd,Normal,Gtl
449,6,1937,1950,780,780,1376,2,7,1,119500,RM,AllPub,1Fam,TA,Normal,Gtl
450,3,1948,2002,649,679,1183,1,6,1,120000,RM,AllPub,1Fam,TA,Normal,Gtl
451,6,1930,2005,813,813,813,1,5,1,110000,RM,AllPub,1Fam,Gd,Normal,Gtl
452,7,1975,1975,1533,1533,1533,2,5,2,280000,RL,AllPub,1Fam,Gd,Normal,Mod
453,6,1996,1997,872,888,1756,2,7,2,204000,RL,AllPub,1Fam,TA,Normal,Gtl
454,8,2008,2008,768,786,1590,2,6,2,210000,FV,AllPub,1Fam,Gd,Normal,Gtl
455,5,1976,1976,1728,1728,1728,2,8,2,188000,RL,AllPub,Duplex,TA,Family,Gtl
456,7,1973,1973,1242,1242,1242,1,6,2,175500,RL,AllPub,1Fam,TA,Normal,Gtl
457,5,1916,1950,624,624,1344,1,7,3,98000,RM,AllPub,1Fam,TA,Abnorml,Gtl
458,4,1954,1994,1364,1663,1663,1,6,2,256000,RL,AllPub,1Fam,Gd,Normal,Mod
459,8,1925,1996,588,833,1666,1,7,1,161000,RM,AllPub,1Fam,Gd,Normal,Gtl
460,5,1950,1950,709,979,1203,1,5,1,110000,RL,AllPub,1Fam,Gd,Normal,Gtl
461,8,2009,2009,832,832,1935,2,8,2,263435,FV,AllPub,1Fam,TA,Partial,Gtl
462,7,1936,2007,560,575,1135,1,6,2,155000,RL,AllPub,1Fam,Gd,Normal,Gtl
463,5,1965,1965,864,864,864,1,5,1,62383,RL,AllPub,1Fam,TA,Normal,Gtl
464,6,1934,1995,715,849,1660,1,6,1,188700,RL,AllPub,1Fam,TA,Normal,Mod
465,5,1978,1978,1040,1040,1040,2,5,0,124000,RL,AllPub,1Fam,TA,Normal,Mod
466,7,2004,2004,1375,1414,1414,2,6,2,178740,RM,AllPub,TwnhsE,Gd,Normal,Gtl
467,7,1970,1970,1277,1277,1277,1,5,2,167000,RL,AllPub,1Fam,TA,Normal,Gtl
468,5,1942,1995,728,888,1644,1,7,1,146500,RL,AllPub,1Fam,Gd,Normal,Gtl
469,8,2006,2006,1626,1634,1634,2,7,3,250000,RL,AllPub,1Fam,Gd,Normal,Gtl
470,6,1993,1993,832,832,1710,2,7,2,187000,RL,AllPub,1Fam,Gd,Normal,Gtl
471,8,1985,1985,1488,1502,1502,1,4,2,212000,RL,AllPub,TwnhsE,Gd,Normal,Gtl
472,7,1977,1977,808,1161,1969,2,8,2,190000,RL,AllPub,1Fam,TA,Normal,Gtl
473,6,2005,2005,547,1072,1072,1,5,2,148000,RM,AllPub,TwnhsE,TA,Normal,Gtl
474,8,2006,2007,1976,1976,1976,2,7,3,440000,RL,AllPub,1Fam,Gd,Partial,Gtl
475,8,2000,2000,1494,1652,1652,2,6,2,251000,RL,AllPub,TwnhsE,Ex,Normal,Gtl
476,5,1963,1963,970,970,970,1,5,2,132500,RL,AllPub,1Fam,TA,Normal,Gtl
477,6,1997,1998,1478,1493,1493,2,7,2,208900,RL,AllPub,1Fam,Gd,Normal,Mod
478,9,2006,2006,2153,2069,2643,2,9,3,380000,RL,AllPub,1Fam,Ex,Normal,Gtl
479,8,2007,2008,1705,1718,1718,2,7,3,297000,RL,AllPub,1Fam,Gd,Normal,Gtl
480,4,1937,2000,907,1131,1131,1,7,2,89471,RM,AllPub,1Fam,TA,Alloca,Gtl
481,9,2004,2005,1833,1850,1850,2,8,3,326000,RL,AllPub,1Fam,Gd,Normal,Gtl
482,9,2003,2004,1792,1792,1792,2,6,3,374000,RL,AllPub,1Fam,Ex,Normal,Gtl
483,7,1915,2005,910,916,1826,1,7,1,155000,RM,AllPub,1Fam,Ex,Normal,Gtl
484,6,1998,1998,1216,1216,1216,2,5,2,164000,RM,AllPub,Twnhs,TA,Normal,Gtl
485,5,1962,2001,999,999,999,1,6,1,132500,RL,AllPub,1Fam,Gd,Normal,Gtl
486,5,1950,2007,1113,1113,1113,1,5,1,147000,RL,AllPub,1Fam,Gd,Normal,Gtl
487,5,1965,1965,1073,1073,1073,1,6,2,156000,RL,AllPub,1Fam,TA,Normal,Gtl
488,5,1971,1971,1484,1484,1484,2,7,2,175000,RL,AllPub,1Fam,TA,Normal,Gtl
489,5,1900,1970,954,1766,2414,2,10,2,160000,RL,AllPub,2fmCon,TA,Normal,Gtl
490,4,1970,2002,630,630,630,1,3,1,86000,RM,AllPub,Twnhs,Gd,Normal,Gtl
491,5,1976,1976,264,616,1304,1,4,1,115000,RM,AllPub,TwnhsE,TA,Normal,Gtl
492,6,1941,1950,806,958,1578,1,5,1,133000,RL,AllPub,1Fam,Fa,Normal,Gtl
493,6,2006,2006,728,728,1456,2,8,2,172785,RL,AllPub,1Fam,TA,Partial,Gtl
494,5,1960,1960,1269,1269,1269,1,6,1,155000,RL,AllPub,1Fam,TA,Normal,Gtl
495,5,1938,1996,190,886,886,1,4,1,91300,RM,AllPub,1Fam,TA,Normal,Gtl
496,4,1920,1950,720,720,720,1,4,0,34900,C (all),AllPub,1Fam,TA,Abnorml,Gtl
497,8,1992,1993,3200,3228,3228,3,10,2,430000,RL,AllPub,1Fam,Gd,Normal,Gtl
498,7,1925,1950,1026,1133,1820,2,8,1,184000,RL,AllPub,1Fam,TA,Normal,Gtl
499,5,1967,2004,864,899,899,1,5,1,130000,RL,AllPub,1Fam,Gd,Normal,Gtl
500,5,1958,1985,912,912,912,1,5,1,120000,RL,AllPub,1Fam,TA,Normal,Gtl
501,6,1973,1973,672,672,1218,1,7,1,113000,RM,AllPub,Twnhs,TA,Normal,Gtl
502,7,2005,2005,866,866,1768,2,7,2,226700,FV,AllPub,1Fam,Gd,Normal,Gtl
503,5,1965,1965,1214,1214,1214,1,6,2,140000,RL,AllPub,1Fam,TA,Normal,Gtl
504,7,1959,1997,1501,1801,1801,2,6,2,289000,RL,AllPub,1Fam,TA,Normal,Gtl
505,6,1974,1974,855,855,1322,2,6,2,147000,RL,AllPub,TwnhsE,TA,Normal,Gtl
506,5,1952,1952,960,960,1960,2,10,2,124500,RM,AllPub,Duplex,TA,Normal,Gtl
507,8,1993,1994,777,1065,1911,2,8,2,215000,RL,AllPub,1Fam,Gd,Normal,Gtl
508,6,2009,2009,1218,1218,1218,2,4,2,208300,FV,AllPub,1Fam,Gd,Partial,Gtl
509,7,1928,2005,689,689,1378,2,7,2,161000,RM,AllPub,1Fam,Gd,Normal,Gtl
510,5,1959,1959,1041,1041,1041,1,6,1,124500,RL,AllPub,1Fam,TA,Normal,Gtl
511,5,1951,2000,1008,1363,1363,1,6,1,164900,RL,AllPub,1Fam,TA,Normal,Gtl
512,7,2005,2006,1368,1368,1368,2,6,2,202665,RL,AllPub,TwnhsE,Gd,Partial,Gtl
513,5,1958,1958,864,864,864,1,5,2,129900,RL,AllPub,1Fam,TA,Normal,Gtl
514,6,1983,1983,1084,1080,1080,1,5,2,134000,RL,AllPub,1Fam,TA,Normal,Gtl
515,5,1926,1950,768,789,789,1,5,1,96500,RL,AllPub,1Fam,TA,Normal,Gtl
516,10,2009,2009,2006,2020,2020,2,9,3,402861,RL,AllPub,1Fam,Ex,Partial,Gtl
517,6,1972,1972,689,1378,2119,2,7,2,158000,RL,AllPub,1Fam,TA,Abnorml,Gtl
518,7,1996,1997,1264,1277,2344,2,7,3,265000,RL,AllPub,1Fam,Gd,Normal,Gtl
519,6,1998,1998,794,882,1796,2,7,2,211000,RL,AllPub,1Fam,TA,Normal,Gtl
520,7,1926,2004,1276,1276,2080,1,9,1,234000,RL,AllPub,1Fam,Gd,Normal,Gtl
521,4,1900,2000,0,694,1294,2,7,0,106250,RL,AllPub,2fmCon,TA,Normal,Gtl
522,6,1957,1957,1244,1244,1244,1,6,1,150000,RL,AllPub,1Fam,TA,Normal,Gtl
523,6,1947,1950,1004,1004,1664,2,7,2,159000,RM,AllPub,1Fam,TA,Normal,Gtl
